time,kw
399,34260.0
400,34574.0
401,35933.0
402,36397.0
403,36695.0
404,36897.0
405,37015.0
406,36876.0
407,36605.0
408,36477.0
409,37283.0
410,37534.0
411,37419.0
412,37472.0
413,37829.0
414,37538.0
415,38210.0
416,38738.0
417,39223.0
418,38581.0
419,38074.0
420,38755.0
421,38173.0
422,37741.0
423,37261.0
424,37939.0
425,37985.0
426,38133.0
427,38209.0
428,38229.0
429,38189.0
430,38052.0
431,38285.0
432,38264.0
433,38198.0
434,37646.0
435,37956.0
436,37766.0
437,38098.0
438,38250.0
439,38804.0
440,38625.0
441,38258.0
442,37698.0
443,36943.0
444,36406.0
445,34676.0
446,34412.0
447,34471.0
448,34616.0
449,34840.0
450,34707.0
451,34880.0
452,34766.0
453,34867.0
454,34824.0
455,34896.0
456,34929.0
457,35105.0
458,35043.0
459,34972.0
460,35043.0
461,34877.0
462,35049.0
463,35148.0
464,35136.0
465,34926.0
466,34666.0
467,34578.0
468,34358.0
469,34222.0
470,34111.0
471,34200.0
472,34455.0
473,34269.0
474,34525.0
475,34477.0
476,34541.0
477,34485.0
478,34651.0
479,34071.0
480,34006.0
481,33905.0
482,33697.0
483,33711.0
484,33543.0
485,33410.0
486,33368.0
487,33354.0
488,33334.0
489,33308.0
490,33312.0
491,33461.0
492,32840.0
493,32586.0
494,32028.0
495,31682.0
496,31791.0
497,32290.0
498,32347.0
499,32674.0
500,32322.0
501,32029.0
502,32014.0
503,31953.0
504,31594.0
505,31224.0
506,31182.0
507,31233.0
508,30960.0
509,31380.0
510,31493.0
511,32297.0
512,34457.0
513,34604.0
514,33905.0
515,33199.0
516,32954.0
517,32807.0
518,32740.0
519,34327.0
520,35069.0
521,34876.0
522,35476.0
523,35389.0
524,35150.0
525,35199.0
526,35153.0
527,35267.0
528,35327.0
529,35795.0
530,37008.0
531,37385.0
532,37482.0
533,38298.0
534,38042.0
535,38526.0
536,39365.0
537,40317.0
538,40083.0
539,39644.0
540,40135.0
541,40045.0
